,Cidade,Prefeito,Partido,Porcentagem,Quantidade
379, Xique-xique,Reinaldinho,MDB,55.65%,14573
380, Xique-xique,Reinaldinho,MDB,55.65%,14573
381, Xique-xique,Reinaldinho,MDB,55.65%,14573
382, Xique-xique,Reinaldinho,MDB,55.65%,14573
383, Xique-xique,Reinaldinho,MDB,55.65%,14573
384, Xique-xique,Reinaldinho,MDB,55.65%,14573
385, Xique-xique,Reinaldinho,MDB,55.65%,14573
386, Xique-xique,Reinaldinho,MDB,55.65%,14573
387, Xique-xique,Reinaldinho,MDB,55.65%,14573
388, Xique-xique,Reinaldinho,MDB,55.65%,14573
389, Xique-xique,Reinaldinho,MDB,55.65%,14573
390, Xique-xique,Reinaldinho,MDB,55.65%,14573
391, Xique-xique,Reinaldinho,MDB,55.65%,14573
392, Xique-xique,Reinaldinho,MDB,55.65%,14573
393, Xique-xique,Reinaldinho,MDB,55.65%,14573
394, Xique-xique,Reinaldinho,MDB,55.65%,14573
395, Xique-xique,Reinaldinho,MDB,55.65%,14573
396, Xique-xique,Reinaldinho,MDB,55.65%,14573
397, Xique-xique,Reinaldinho,MDB,55.65%,14573
398, Xique-xique,Reinaldinho,MDB,55.65%,14573
399, Xique-xique,Reinaldinho,MDB,55.65%,14573
400, Xique-xique,Reinaldinho,MDB,55.65%,14573
401, Xique-xique,Reinaldinho,MDB,55.65%,14573
402, Xique-xique,Reinaldinho,MDB,55.65%,14573
403, Xique-xique,Reinaldinho,MDB,55.65%,14573
404, Xique-xique,Reinaldinho,MDB,55.65%,14573
405, Xique-xique,Reinaldinho,MDB,55.65%,14573
406, Xique-xique,Reinaldinho,MDB,55.65%,14573
407, Xique-xique,Reinaldinho,MDB,55.65%,14573
408, Xique-xique,Reinaldinho,MDB,55.65%,14573
409, Xique-xique,Reinaldinho,MDB,55.65%,14573
410, Xique-xique,Reinaldinho,MDB,55.65%,14573
